"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","network","neural","model","data","training","input","system","layer","algorithm","error"
"2","network","model","pattern","neuron","input","memory","synaptic","function","cell","learning"
"3","neuron","model","network","input","cell","system","neural","function","output","noise"
"4","rules","network","rule","neural","set","fuzzy","cell","system","function","input"
"5","algorithm","function","learning","set","error","training","network","bound","result","problem"
"6","learning","algorithm","function","policy","action","problem","model","optimal","states","step"
"7","data","model","function","set","network","training","error","method","algorithm","neural"
"8","network","unit","word","input","model","set","training","system","pattern","speech"
"9","cell","model","neuron","visual","input","system","signal","information","stimulus","neural"
"10","network","training","input","set","neural","system","output","unit","recognition","data"
"11","learning","action","function","model","control","algorithm","system","reinforcement","task","problem"
"12","network","function","input","algorithm","error","unit","output","weight","model","set"
"13","model","data","function","algorithm","point","set","space","vector","problem","parameter"
"14","network","model","data","input","learning","algorithm","neural","set","object","output"
"15","function","network","threshold","input","neural","weight","number","bound","result","output"
"16","model","data","algorithm","parameter","set","likelihood","mixture","function","point","gaussian"
"17","model","network","learning","function","data","set","algorithm","training","error","neural"
"18","learning","error","network","training","weight","generalization","function","set","input","result"
"19","network","neural","stress","problem","output","point","net","input","map","weight"
"20","model","network","unit","learning","input","function","neuron","weight","neural","vector"
"21","problem","algorithm","function","model","network","result","number","point","spin","graph"
"22","speech","network","motion","model","recognition","system","word","signal","information","neural"
"23","network","unit","weight","learning","hidden","function","problem","error","input","algorithm"
"24","network","neural","input","weight","chip","learning","neuron","system","circuit","output"
"25","david","michael","john","richard","peter","author","index","thomas","eric","paul"
"26","model","control","network","learning","system","neural","movement","controller","motor","dynamic"
"27","learning","neural","network","equation","point","adjoint","parameter","system","barhen","energy"
"28","network","input","image","pattern","system","output","algorithm","set","classifier","neural"
"29","network","expert","algorithm","learning","model","mixture","task","gaussian","input","problem"
"30","data","algorithm","learning","vector","clustering","function","cluster","channel","problem","information"
