SID Name Lat_DMS Long_DMS Latitude_DD Longitude_DD East_UTM North_UTM Elevation_m Slope_deg Aspect_deg Network LongName Records_Begin
1 BEWO 44:02:51 121:19:13 44.0475 -121.330833 633717.8 4878502.97 1114 0 0 Agrimet Bend 2003
2 MRSO 44:40:48 121:08:55 44.68 -121.146667 646882.12 4949074.13 742 2.62 270 Agrimet Madras 1984
3 POBO 44:14:54 120:56:59 44.248333 -120.948333 663803.89 4901502.12 975 0 0 Agrimet Powell.Bute 1993
4 350197 44:55:00 120:44:00 44.916667 -120.733333 678906.98 4976192.55 861 9.75 77.2 COOP Antelope.1.NW 1948
5 350501 43:57:00 120:13:00 43.95 -120.216667 723341.94 4870085.96 1232 0 0 COOP Barnes.STN 1961
6 350595 45:27:00 122:49:00 45.45 -122.816667 514335.92 5032958.02 86 3.7 135 COOP Beaverton.2.SSW 1972
7 350652 44:18:00 122:02:00 44.3 -122.033333 577110.16 4905648.39 677 11.2 90 COOP Belnap.Springs 1960
8 350694 44:04:00 121:17:00 44.066667 -121.283333 637478.72 4880710.02 1115 7.37 45 COOP Bend 1948
9 350699 44:07:00 121:13:00 44.116667 -121.216667 642697.45 4886377.04 1023 2.62 0 COOP Bend.7.NE 1990
10 350897 45:38:00 121:57:00 45.633333 -121.95 581839.2 5053845.74 66 12.19 310.71 COOP Bonnevill.Dam 1948
11 351067 43:48:00 120:36:00 43.8 -120.6 693065.5 4852459.23 1433 3.7 315 COOP Brothers 1959
12 351433 44:24:00 122:29:00 44.4 -122.483333 541143.99 4916431.32 265 3.59 165.96 COOP Cascadia.State.Park 1986
13 351643 46:06:00 123:12:00 46.1 -123.2 484541.46 5105177.72 19 13.31 303.18 COOP Clatskanie 1948
14 351862 44:38:00 123:12:00 44.633333 -123.2 484136.73 4942239.15 69 0 0 COOP Corvallis.State.University 1948
15 351877 44:31:00 123:27:00 44.516667 -123.45 464236.2 4929358.94 268 11.3 120.96 COOP Corvallis.Water.Bureau 1948
16 351897 43:47:00 123:04:00 43.783333 -123.066667 494635.65 4847810.77 202 3.7 315 COOP Cottage.Grove.1.S 1948
17 351902 43:43:00 123:03:00 43.716667 -123.05 495972.27 4840405.63 220 2.62 270 COOP Cottage.Grove.Dam 1948
18 352112 44:57:00 123:17:00 44.95 -123.283333 477649.59 4977435.1 93 0 0 COOP Dallas.2.NE 1948
19 352292 44:43:00 122:15:00 44.716667 -122.25 559402.09 4951750 484 26.54 331.28 COOP Detroit.Dam 1954
20 352374 43:47:00 122:58:00 43.783333 -122.966667 502682.18 4847809.15 235 0 0 COOP Dorena.Dam 1949
21 352693 45:16:00 122:19:00 45.266667 -122.316667 553606.7 5012801.48 159 8.05 4.64 COOP Estacada.2.SE 1948
